Date,DOW,DOW_Name,Predicted,Actual,Error,Abs_Error,Pct_Error,Item,Period
2026-03-18,2,Wednesday,2.31,4,-1.69,1.69,42.25,Kentang,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.54,2,-0.45999999999999996,0.45999999999999996,23.0,Kentang,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,3.11,1,2.11,2.11,211.0,Kentang,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.46,1,1.46,1.46,146.0,Kinasih,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,4.12,4,0.1200000000000001,0.1200000000000001,3.0000000000000027,Kinasih,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.19,3,-0.81,0.81,27.0,Kinasih,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.89,3,-0.10999999999999988,0.10999999999999988,3.6666666666666625,Kinasih,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.46,3,-0.54,0.54,18.000000000000004,Kinasih,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,3.02,2,1.02,1.02,51.0,Kinasih,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.9,2,-0.10000000000000009,0.10000000000000009,5.000000000000004,Kirana,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.98,2,-0.020000000000000018,0.020000000000000018,1.0000000000000009,Kirana,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.89,1,0.8899999999999999,0.8899999999999999,88.99999999999999,Kirana,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.44,4,-2.56,2.56,64.0,Kirana,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.98,1,0.98,0.98,98.0,Kirana,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.98,2,0.98,0.98,49.0,Kirana,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.01,1,1.0099999999999998,1.0099999999999998,100.99999999999997,Kirana Strawberry,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.62,1,0.6200000000000001,0.6200000000000001,62.000000000000014,Kirana Strawberry,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,4.72,5,-0.28000000000000025,0.28000000000000025,5.600000000000005,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,3.4,4,-0.6000000000000001,0.6000000000000001,15.000000000000002,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,4.5,6,-1.5,1.5,25.0,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,3.28,4,-0.7200000000000002,0.7200000000000002,18.000000000000004,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,4.02,1,3.0199999999999996,3.0199999999999996,301.99999999999994,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,5.25,4,1.25,1.25,31.25,Kopi Susu Husgendam Hot,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,7.76,7,0.7599999999999998,0.7599999999999998,10.857142857142854,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,5.34,10,-4.66,4.66,46.6,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,5.11,15,-9.89,9.89,65.93333333333334,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,5.18,9,-3.8200000000000003,3.8200000000000003,42.44444444444444,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,4.86,7,-2.1399999999999997,2.1399999999999997,30.571428571428566,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,6.29,6,0.29000000000000004,0.29000000000000004,4.833333333333334,Kopi Susu Husgendam Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,0.98,2,-1.02,1.02,51.0,Latte Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.14,1,0.1399999999999999,0.1399999999999999,13.99999999999999,Latte Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.18,1,0.17999999999999994,0.17999999999999994,17.999999999999993,Latte Hot,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.94,1,0.94,0.94,94.0,Latte Ice,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.03,2,-0.97,0.97,48.5,Latte Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.01,1,0.010000000000000009,0.010000000000000009,1.0000000000000009,Latte Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.73,1,1.73,1.73,173.0,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.62,2,0.6200000000000001,0.6200000000000001,31.000000000000007,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.71,2,0.71,0.71,35.5,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,3.1,5,-1.9,1.9,38.0,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.88,2,0.8799999999999999,0.8799999999999999,43.99999999999999,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.26,1,1.2599999999999998,1.2599999999999998,125.99999999999997,Lemon Tea Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.34,1,0.3400000000000001,0.3400000000000001,34.00000000000001,Lemon Tea Ice,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.22,5,-2.78,2.78,55.599999999999994,Lemon Tea Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.78,3,-1.22,1.22,40.666666666666664,Lemon Tea Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.39,1,1.3900000000000001,1.3900000000000001,139.0,Lemon Tea Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.02,1,1.02,1.02,102.0,Lychee Tea Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.18,2,0.18000000000000016,0.18000000000000016,9.000000000000007,Lychee Tea Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.22,2,0.2200000000000002,0.2200000000000002,11.00000000000001,Lychee Tea Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.41,6,-3.59,3.59,59.83333333333333,Lychee Tea Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.91,1,1.9100000000000001,1.9100000000000001,191.0,Lychee Tea Hot,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,3.41,4,-0.5899999999999999,0.5899999999999999,14.749999999999996,Lychee Tea Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,3.0,1,2.0,2.0,200.0,Lychee Tea Ice,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,3.7,5,-1.2999999999999998,1.2999999999999998,25.999999999999996,Lychee Tea Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.22,2,0.2200000000000002,0.2200000000000002,11.00000000000001,Lychee Tea Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.72,1,1.7200000000000002,1.7200000000000002,172.00000000000003,Lychee Tea Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.78,2,-0.21999999999999997,0.21999999999999997,10.999999999999998,Magic,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.26,2,-0.74,0.74,37.0,Magic,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.32,4,-2.6799999999999997,2.6799999999999997,67.0,Magic,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.85,2,-0.1499999999999999,0.1499999999999999,7.499999999999996,Magic,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.12,1,0.1200000000000001,0.1200000000000001,12.00000000000001,Matcha Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.55,2,-0.44999999999999996,0.44999999999999996,22.499999999999996,Matcha Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.2,1,0.19999999999999996,0.19999999999999996,19.999999999999996,Matcha Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.0,1,0.0,0.0,0.0,Matcha Hot,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.97,1,0.97,0.97,97.0,Matcha Hot,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,3.56,1,2.56,2.56,256.0,Matcha Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.68,3,-0.31999999999999984,0.31999999999999984,10.666666666666663,Matcha Ice,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.24,4,-1.7599999999999998,1.7599999999999998,43.99999999999999,Matcha Ice,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.96,4,-2.04,2.04,51.0,Matcha Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.04,2,-0.96,0.96,48.0,Matcha Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.56,1,0.56,0.56,56.00000000000001,Mewangi Milk Tea Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.79,3,-1.21,1.21,40.33333333333333,Mewangi Milk Tea Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.01,5,-2.99,2.99,59.80000000000001,Mewangi Milk Tea Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.07,2,0.06999999999999984,0.06999999999999984,3.499999999999992,Mewangi Milk Tea Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.29,1,1.29,1.29,129.0,Mewangi Milk Tea Ice,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.88,2,-0.1200000000000001,0.1200000000000001,6.000000000000005,Mewangi Milk Tea Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.03,4,-1.9700000000000002,1.9700000000000002,49.25000000000001,Mewangi Milk Tea Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.56,1,1.56,1.56,156.0,Mewangi Milk Tea Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.1,2,0.10000000000000009,0.10000000000000009,5.000000000000004,Mie Goreng,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.48,4,-1.52,1.52,38.0,Mie Goreng,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.7,2,-0.30000000000000004,0.30000000000000004,15.000000000000002,Mie Goreng,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.68,1,1.6800000000000002,1.6800000000000002,168.00000000000003,Mie Rebus,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.1,1,1.1,1.1,110.00000000000001,Mie Rebus,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.01,1,1.0099999999999998,1.0099999999999998,100.99999999999997,Nasi Ayam Chili Padi,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.91,1,0.9099999999999999,0.9099999999999999,90.99999999999999,Nasi Ayam Chili Padi,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.46,2,0.45999999999999996,0.45999999999999996,23.0,Nasi Ayam Chili Padi,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.36,2,-0.6399999999999999,0.6399999999999999,31.999999999999996,Nasi Ayam Chili Padi,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.42,1,0.41999999999999993,0.41999999999999993,41.99999999999999,Nasi Ayam Curry,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.07,2,-0.9299999999999999,0.9299999999999999,46.5,Nasi Ayam Curry,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.02,3,-1.98,1.98,66.0,Nasi Ayam Curry,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.46,2,-0.54,0.54,27.0,Nasi Ayam Curry,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.27,2,0.27,0.27,13.5,Nasi Ayam Daun Jeruk,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.71,6,-4.29,4.29,71.5,Nasi Ayam Daun Jeruk,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.57,3,-0.43000000000000016,0.43000000000000016,14.33333333333334,Nasi Ayam Daun Jeruk,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.43,1,1.4300000000000002,1.4300000000000002,143.00000000000003,Nasi Ayam Daun Jeruk,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.42,1,1.42,1.42,142.0,Nasi Ayam Mentega,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.53,2,-0.47,0.47,23.5,Nasi Ayam Mentega,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.14,4,-1.8599999999999999,1.8599999999999999,46.5,Nasi Ayam Mentega,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.98,2,-0.020000000000000018,0.020000000000000018,1.0000000000000009,Nasi Gila,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.71,3,-0.29000000000000004,0.29000000000000004,9.666666666666668,Nasi Gila,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.14,1,0.1399999999999999,0.1399999999999999,13.99999999999999,Nasi Gila,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.07,3,-0.9300000000000002,0.9300000000000002,31.000000000000007,Nasi Goreng Jawa,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.21,1,1.21,1.21,121.0,Nasi Goreng Jawa,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.97,4,-2.0300000000000002,2.0300000000000002,50.75000000000001,Nasi Goreng Jawa,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.74,2,0.7400000000000002,0.7400000000000002,37.000000000000014,Nasi Goreng Jawa,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.68,1,0.6799999999999999,0.6799999999999999,68.0,Nirmala Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.51,2,-0.49,0.49,24.5,Nirmala Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.52,1,1.52,1.52,152.0,Nirmala Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.27,1,0.27,0.27,27.0,Nirmala Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.95,6,-3.05,3.05,50.83333333333333,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.66,10,-8.34,8.34,83.39999999999999,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,3.42,3,0.41999999999999993,0.41999999999999993,13.999999999999998,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.52,4,-1.48,1.48,37.0,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.85,3,-0.1499999999999999,0.1499999999999999,4.9999999999999964,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,3.7,1,2.7,2.7,270.0,Pisang Goreng Madu,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.07,1,1.0699999999999998,1.0699999999999998,106.99999999999999,Puspa Matcha,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.02,1,1.02,1.02,102.0,Puspa Matcha,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.47,1,0.47,0.47,47.0,Puspa Matcha,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.94,1,0.94,0.94,94.0,Rayu,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.1,2,-0.8999999999999999,0.8999999999999999,44.99999999999999,Singkong Keju,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.25,2,-0.75,0.75,37.5,Singkong Keju,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.36,3,-1.64,1.64,54.666666666666664,Tahu Tuna,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.2,1,1.2000000000000002,1.2000000000000002,120.00000000000001,Tahu Tuna,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.86,3,-1.14,1.14,37.99999999999999,Tahu Tuna,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.65,6,-4.35,4.35,72.5,Tahu Tuna,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.74,4,-2.26,2.26,56.49999999999999,Tahu Tuna,2026-03-15 to 2026-03-21
