Date,Category,Quantity,UniqueItemCount,Net sales,Gross sales
2022-01-30,Tea Based,2.0,2,0.0,0.0
2022-01-31,Artisan Tea,1.0,1,0.0,0.0
2022-01-31,Coffee Based,25.0,1,0.0,0.0
2022-01-31,Espresso Based,1.0,1,0.0,0.0
2022-01-31,Main Course,2.0,2,0.0,0.0
2022-01-31,Milk Based,1.0,1,0.0,0.0
2022-01-31,Other,1.0,1,0.0,0.0
2022-01-31,Signature Based,5.0,4,0.0,0.0
2022-01-31,Snack,20.0,3,0.0,0.0
2022-01-31,Tea Based,4.0,2,0.0,0.0
2022-02-01,Artisan Tea,1.0,1,0.0,0.0
2022-02-01,Coffee Based,8.0,3,0.0,0.0
2022-02-01,Espresso Based,4.0,3,0.0,0.0
2022-02-01,Main Course,2.0,1,0.0,0.0
2022-02-01,Mie,1.0,1,0.0,0.0
2022-02-01,Milk Based,9.0,6,0.0,0.0
2022-02-01,Other,1.0,1,0.0,0.0
2022-02-01,Signature,1.0,1,0.0,0.0
2022-02-01,Signature Based,9.0,4,0.0,0.0
2022-02-01,Snack,3.0,2,0.0,0.0
2022-02-01,Tea Based,6.0,2,0.0,0.0
2022-02-02,Coffee Based,8.0,2,0.0,0.0
2022-02-02,Espresso Based,4.0,3,0.0,0.0
2022-02-02,Milk Based,6.0,5,0.0,0.0
2022-02-02,Other,3.0,1,0.0,0.0
2022-02-02,Signature Based,6.0,3,0.0,0.0
2022-02-02,Snack,3.0,3,0.0,0.0
2022-02-02,Tea Based,7.0,4,0.0,0.0
2022-02-03,Coffee Based,6.0,2,0.0,0.0
2022-02-03,Espresso Based,1.0,1,0.0,0.0
2022-02-03,Main Course,3.0,2,0.0,0.0
2022-02-03,Mie,6.0,2,0.0,0.0
2022-02-03,Milk Based,6.0,5,0.0,0.0
2022-02-03,Other,3.0,1,0.0,0.0
2022-02-03,Signature,1.0,1,0.0,0.0
2022-02-03,Signature Based,7.0,4,0.0,0.0
2022-02-03,Snack,3.0,2,0.0,0.0
2022-02-03,Tea Based,5.0,4,0.0,0.0
2022-02-04,Coffee Based,5.0,3,0.0,0.0
2022-02-04,Espresso Based,2.0,2,0.0,0.0
2022-02-04,Main Course,1.0,1,0.0,0.0
2022-02-04,Milk Based,5.0,2,0.0,0.0
2022-02-04,Signature Based,5.0,4,0.0,0.0
2022-02-04,Snack,1.0,1,0.0,0.0
2022-02-04,Tea Based,2.0,2,0.0,0.0
2022-02-04,Toast,2.0,1,0.0,0.0
2022-02-05,Coffee Based,3.0,2,0.0,0.0
2022-02-05,Espresso Based,4.0,3,0.0,0.0
2022-02-05,Main Course,1.0,1,0.0,0.0
2022-02-05,Milk Based,6.0,3,0.0,0.0
2022-02-05,Other,2.0,1,0.0,0.0
2022-02-05,Signature,1.0,1,0.0,0.0
2022-02-05,Signature Based,9.0,6,0.0,0.0
2022-02-05,Snack,2.0,1,0.0,0.0
2022-02-05,Tea Based,3.0,3,0.0,0.0
2022-02-06,Coffee Based,4.0,2,0.0,0.0
2022-02-06,Espresso Based,3.0,1,0.0,0.0
2022-02-06,Main Course,1.0,1,0.0,0.0
2022-02-06,Mie,1.0,1,0.0,0.0
2022-02-06,Milk Based,6.0,5,0.0,0.0
2022-02-06,Signature Based,2.0,2,0.0,0.0
2022-02-06,Snack,2.0,2,0.0,0.0
2022-02-06,Tea Based,4.0,2,0.0,0.0
2022-02-07,Coffee Based,6.0,3,0.0,0.0
2022-02-07,Espresso Based,2.0,2,0.0,0.0
2022-02-07,Milk Based,5.0,3,0.0,0.0
2022-02-07,Other,1.0,1,0.0,0.0
2022-02-07,Signature Based,2.0,2,0.0,0.0
2022-02-07,Snack,3.0,3,0.0,0.0
2022-02-07,Tea Based,2.0,2,0.0,0.0
2022-02-07,Toast,2.0,1,0.0,0.0
2022-02-08,Coffee Based,13.0,3,0.0,0.0
2022-02-08,Espresso Based,1.0,1,0.0,0.0
2022-02-08,Main Course,1.0,1,0.0,0.0
2022-02-08,Mie,2.0,2,0.0,0.0
2022-02-08,Milk Based,1.0,1,0.0,0.0
2022-02-08,Other,2.0,1,0.0,0.0
2022-02-08,Signature,1.0,1,0.0,0.0
2022-02-08,Signature Based,4.0,3,0.0,0.0
2022-02-08,Snack,2.0,2,0.0,0.0
2022-02-08,Tea Based,6.0,4,0.0,0.0
2022-02-08,Toast,1.0,1,0.0,0.0
2022-02-09,Coffee Based,5.0,2,0.0,0.0
2022-02-09,Espresso Based,1.0,1,0.0,0.0
2022-02-09,Mie,3.0,2,0.0,0.0
2022-02-09,Milk Based,3.0,2,0.0,0.0
2022-02-09,Other,1.0,1,0.0,0.0
2022-02-09,Signature,1.0,1,0.0,0.0
2022-02-09,Signature Based,2.0,2,0.0,0.0
2022-02-09,Snack,5.0,3,0.0,0.0
2022-02-09,Tea Based,3.0,2,0.0,0.0
2022-02-10,Coffee Based,6.0,3,0.0,0.0
2022-02-10,Mie,1.0,1,0.0,0.0
2022-02-10,Milk Based,2.0,1,0.0,0.0
2022-02-10,Other,1.0,1,0.0,0.0
2022-02-10,Signature Based,3.0,3,0.0,0.0
2022-02-10,Snack,1.0,1,0.0,0.0
2022-02-10,Tea Based,4.0,3,0.0,0.0
2022-02-10,Toast,1.0,1,0.0,0.0
2022-02-11,Coffee Based,6.0,3,0.0,0.0
2022-02-11,Espresso Based,4.0,3,0.0,0.0
2022-02-11,Mie,2.0,2,0.0,0.0
2022-02-11,Milk Based,2.0,2,0.0,0.0
2022-02-11,Other,1.0,1,0.0,0.0
2022-02-11,Signature Based,5.0,4,0.0,0.0
2022-02-11,Snack,1.0,1,0.0,0.0
2022-02-11,Tea Based,4.0,3,0.0,0.0
2022-02-11,Toast,3.0,1,0.0,0.0
2022-02-12,Coffee Based,7.0,3,0.0,0.0
2022-02-12,Espresso Based,2.0,2,0.0,0.0
2022-02-12,Main Course,5.0,2,0.0,0.0
2022-02-12,Milk Based,4.0,2,0.0,0.0
2022-02-12,Other,1.0,1,0.0,0.0
2022-02-12,Signature,1.0,1,0.0,0.0
2022-02-12,Signature Based,6.0,2,0.0,0.0
2022-02-12,Snack,4.0,3,0.0,0.0
2022-02-12,Tea Based,6.0,4,0.0,0.0
2022-02-12,Toast,1.0,1,0.0,0.0
2022-02-13,Artisan Tea,1.0,1,0.0,0.0
2022-02-13,Coffee Based,3.0,2,0.0,0.0
2022-02-13,Espresso Based,4.0,3,0.0,0.0
2022-02-13,Mie,1.0,1,0.0,0.0
2022-02-13,Milk Based,3.0,2,0.0,0.0
2022-02-13,Signature Based,3.0,3,0.0,0.0
2022-02-13,Snack,1.0,1,0.0,0.0
2022-02-13,Tea Based,3.0,3,0.0,0.0
2022-02-14,Artisan Tea,2.0,1,0.0,0.0
2022-02-14,Coffee Based,6.0,3,0.0,0.0
2022-02-14,Espresso Based,1.0,1,0.0,0.0
2022-02-14,Main Course,2.0,2,0.0,0.0
2022-02-14,Mie,4.0,2,0.0,0.0
2022-02-14,Milk Based,3.0,2,0.0,0.0
2022-02-14,Other,1.0,1,0.0,0.0
2022-02-14,Signature,4.0,2,0.0,0.0
2022-02-14,Signature Based,9.0,3,0.0,0.0
2022-02-14,Snack,4.0,2,0.0,0.0
2022-02-14,Tea Based,4.0,2,0.0,0.0
2022-02-14,Toast,1.0,1,0.0,0.0
2022-02-15,Artisan Tea,1.0,1,0.0,0.0
2022-02-15,Coffee Based,2.0,2,0.0,0.0
2022-02-15,Espresso Based,1.0,1,0.0,0.0
2022-02-15,Main Course,1.0,1,0.0,0.0
2022-02-15,Milk Based,1.0,1,0.0,0.0
2022-02-15,Signature Based,3.0,2,0.0,0.0
2022-02-15,Tea Based,2.0,2,0.0,0.0
2022-02-16,Artisan Tea,3.0,1,0.0,0.0
2022-02-16,Coffee Based,1.0,1,0.0,0.0
2022-02-16,Espresso Based,2.0,1,0.0,0.0
2022-02-16,Mie,3.0,1,0.0,0.0
2022-02-16,Milk Based,2.0,2,0.0,0.0
2022-02-16,Other,4.0,1,0.0,0.0
2022-02-16,Signature Based,9.0,4,0.0,0.0
2022-02-16,Snack,7.0,3,0.0,0.0
2022-02-16,Tea Based,4.0,1,0.0,0.0
2022-02-17,Artisan Tea,1.0,1,0.0,0.0
2022-02-17,Coffee Based,5.0,3,0.0,0.0
2022-02-17,Main Course,3.0,1,0.0,0.0
2022-02-17,Mie,2.0,2,0.0,0.0
2022-02-17,Milk Based,7.0,5,0.0,0.0
2022-02-17,Other,3.0,1,0.0,0.0
2022-02-17,Signature,1.0,1,0.0,0.0
2022-02-17,Signature Based,4.0,3,0.0,0.0
2022-02-17,Snack,4.0,3,0.0,0.0
2022-02-17,Tea Based,7.0,5,0.0,0.0
2022-02-17,Toast,1.0,1,0.0,0.0
2022-02-18,Coffee Based,4.0,3,0.0,0.0
2022-02-18,Espresso Based,2.0,2,0.0,0.0
2022-02-18,Milk Based,2.0,2,0.0,0.0
2022-02-18,Snack,7.0,4,0.0,0.0
2022-02-18,Tea Based,6.0,2,0.0,0.0
2022-02-18,Toast,2.0,1,0.0,0.0
2022-02-19,Coffee Based,10.0,2,0.0,0.0
2022-02-19,Espresso Based,1.0,1,0.0,0.0
2022-02-19,Milk Based,3.0,3,0.0,0.0
2022-02-19,Other,2.0,1,0.0,0.0
2022-02-19,Signature Based,8.0,5,0.0,0.0
2022-02-19,Snack,6.0,3,0.0,0.0
2022-02-19,Tea Based,4.0,3,0.0,0.0
2022-02-20,Coffee Based,7.0,3,0.0,0.0
2022-02-20,Espresso Based,6.0,4,0.0,0.0
2022-02-20,Milk Based,5.0,4,0.0,0.0
2022-02-20,Other,1.0,1,0.0,0.0
2022-02-20,Signature,2.0,2,0.0,0.0
2022-02-20,Signature Based,3.0,2,0.0,0.0
2022-02-20,Snack,4.0,2,0.0,0.0
2022-02-20,Tea Based,7.0,4,0.0,0.0
2022-02-21,Artisan Tea,1.0,1,0.0,0.0
2022-02-21,Coffee Based,6.0,3,0.0,0.0
2022-02-21,Espresso Based,6.0,4,0.0,0.0
2022-02-21,Main Course,1.0,1,0.0,0.0
