antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Red Velvet ice'}),frozenset({'Kentang goreng'}),0.029927062185126703,0.1152718249492443,0.006015489886457628,0.20100502512562812,1.7437480946808404,1.0,0.0025657428130085543,1.107301300849688,0.4396810324781025,0.04321988114532684,0.09690343609941597,0.12659514139516892
frozenset({'Nasi gila'}),frozenset({'Lemon Ice'}),0.05692157305060531,0.06586961425671103,0.0064666516279419505,0.11360634081902246,1.7247154412696115,1.0,0.0027172495682133806,1.0538549955404914,0.44555595524618674,0.05559146735617324,0.0511028516905884,0.10588992840037881
frozenset({'Tahu tuna'}),frozenset({'Kentang goreng'}),0.06120760959470637,0.1152718249492443,0.012106173396495978,0.1977886977886978,1.7158459829692707,1.0,0.005050660537733299,1.1028617679805746,0.4443976249760582,0.0736505032021958,0.09326805132516504,0.15140576441946305
frozenset({'Kentang goreng'}),frozenset({'Tahu tuna'}),0.1152718249492443,0.06120760959470637,0.012106173396495978,0.10502283105022832,1.7158459829692707,1.0,0.005050660537733299,1.0489568035650985,0.47155399862536856,0.0736505032021958,0.046671896686983294,0.15140576441946305
frozenset({'V60'}),frozenset({'Kentang goreng'}),0.037296037296037296,0.1152718249492443,0.007368975110910595,0.1975806451612903,1.7140410958904109,1.0,0.003069792828421297,1.1025758161436554,0.43272224143894844,0.050750906266183324,0.09303289138194797,0.13075379290027986
frozenset({'Nasi gila'}),frozenset({'Lychee Tea ice'}),0.05692157305060531,0.1170764719151816,0.010978269042785172,0.1928665785997358,1.6473555740513077,1.0,0.004314092094158022,1.0939003449430564,0.4166848703424985,0.06734317343173432,0.08583994454078404,0.14331832462420957
frozenset({'Husgendam Hot'}),frozenset({'Cireng'}),0.05308669824798857,0.0801564027370479,0.006917813369426273,0.13031161473087818,1.6257168520693706,1.0,0.0026625746046803657,1.0576703251916029,0.4064645990353509,0.054761904761904755,0.05452580432485482,0.10830777734667738
frozenset({'Ayam Teriyaki'}),frozenset({'Lychee Tea ice'}),0.030077449432288142,0.1170764719151816,0.005714715392134747,0.19,1.6228709055876684,1.0,0.0021933537283951696,1.0900290470182943,0.395709989758488,0.0404040404040404,0.08259325498211548,0.11940590879897238
frozenset({'Kirana'}),frozenset({'Cireng'}),0.053913828107376494,0.0801564027370479,0.006993006993006993,0.1297071129707113,1.6181753240126544,1.0,0.0026714684741361502,1.0569356718550267,0.40378984827275016,0.05502958579881658,0.0538686254718785,0.10847456961856392
frozenset({'Coklat ice'}),frozenset({'Cireng'}),0.04880066170388751,0.0801564027370479,0.00631626438078051,0.12942989214175654,1.6147168251343529,1.0,0.002404578887409272,1.0565991055285944,0.4002277432712215,0.05150214592274678,0.05356724724868964,0.1041145708363567
frozenset({'Kopi Susu Hot'}),frozenset({'Tubruk'}),0.0461688848785623,0.09820287239642078,0.007218587863749154,0.1563517915309446,1.592130532595737,1.0,0.0026846707533346595,1.0689255527965205,0.38991262646170016,0.05263157894736842,0.06448115363712435,0.11492934140100064
"frozenset({'Kopi susu ice', 'Basreng'})",frozenset({'Lychee Tea ice'}),0.03173170915106399,0.1170764719151816,0.005865102639296188,0.1848341232227488,1.57874695230529,1.0,0.0021500660840509333,1.083121304801725,0.3785998888895526,0.04103103629668595,0.0767423781927556,0.11746523116821447
frozenset({'Singkong keju'}),frozenset({'Cireng'}),0.04398826979472141,0.0801564027370479,0.005564328144973306,0.1264957264957265,1.5781113195747343,1.0,0.0020383866756016975,1.0530499107609137,0.38318686784944445,0.046924540266328474,0.050377394479413605,0.09795705649364186
frozenset({'Tahu tuna'}),frozenset({'Cireng'}),0.06120760959470637,0.0801564027370479,0.007669749605233476,0.12530712530712532,1.5632827949901122,1.0,0.0027635677999881952,1.0516189440618582,0.3838127321413146,0.05736782902137233,0.049085216991699473,0.11049596415450075
frozenset({'Lychee tea hot'}),frozenset({'Kentang goreng'}),0.03015264305586886,0.1152718249492443,0.005338747274231145,0.17705735660847882,1.5359985554704239,1.0,0.001862997082137983,1.0750787824101606,0.3598068485342198,0.0381105743424584,0.0698356098534897,0.11168588639295435
frozenset({'Husgendam Ice'}),frozenset({'Cireng'}),0.04985337243401759,0.0801564027370479,0.006090683510038349,0.12217194570135748,1.5241695177132768,1.0,0.002094616511417193,1.0478630669851154,0.3619493979576285,0.0491504854368932,0.0456768336370762,0.09907846816024722
frozenset({'Tubruk Susu'}),frozenset({'Tubruk'}),0.08038198360779006,0.09820287239642078,0.011880592525753816,0.14780168381665107,1.505064772647506,1.0,0.003986850846546822,1.0582010202066148,0.36490886696958097,0.07126747857465043,0.05499996607001106,0.1343908878501326
frozenset({'Tubruk'}),frozenset({'Tubruk Susu'}),0.09820287239642078,0.08038198360779006,0.011880592525753816,0.1209800918836141,1.505064772647506,1.0,0.003986850846546822,1.0461856527946223,0.3721200236002648,0.07126747857465043,0.04414670825512542,0.1343908878501326
frozenset({'Singkong keju'}),frozenset({'Vietnam drip'}),0.04398826979472141,0.08158508158508158,0.005338747274231145,0.12136752136752137,1.4876190476190476,1.0,0.0017499606942422189,1.0452776795189247,0.34286701805927583,0.04440275171982489,0.04331641285956007,0.09340265469297727
frozenset({'Husgendam Ice'}),frozenset({'Kinasih'}),0.04985337243401759,0.09542070832393414,0.007068200616587713,0.14177978883861236,1.4858387799564268,1.0,0.0023111565065968625,1.054017698385293,0.34413580246913583,0.051142546245919476,0.05124932766123905,0.10792693145634322
frozenset({'Husgendam Hot'}),frozenset({'Kinasih'}),0.05308669824798857,0.09542070832393414,0.0075193623580720355,0.141643059490085,1.4844058693133493,1.0,0.0024537920086700133,1.0538498018536346,0.3446247915508616,0.05333333333333333,0.05109817524178223,0.11022263297593296
frozenset({'Ajeng Hot'}),frozenset({'Kentang goreng'}),0.02947590044364238,0.1152718249492443,0.005037972779908264,0.17091836734693877,1.4827419226007428,1.0,0.001640231943747367,1.0671182911381423,0.3354618400983384,0.03606027987082884,0.06289676758005598,0.10731176032056658
frozenset({'Kopi susu ice'}),frozenset({'Basreng'}),0.15647793067147905,0.13858184825926761,0.03173170915106399,0.20278712157616532,1.4633021865661544,1.0,0.010046708306824883,1.0805371752697193,0.3753478034201973,0.12050256996002287,0.07453438633392306,0.21588080983854385
frozenset({'Basreng'}),frozenset({'Kopi susu ice'}),0.13858184825926761,0.15647793067147905,0.03173170915106399,0.2289744981009224,1.4633021865661544,1.0,0.010046708306824883,1.0940261602902632,0.36754990038126506,0.12050256996002287,0.08594507490142335,0.21588080983854385
frozenset({'Waffle vanilla'}),frozenset({'Lychee Tea ice'}),0.030528611173772466,0.1170764719151816,0.0051883600270697045,0.16995073891625614,1.4516216293174633,1.0,0.001614177938374033,1.0637001554968435,0.320912257746873,0.036430834213305174,0.05988544343785474,0.10713336560456352
frozenset({'Cireng'}),frozenset({'Kentang goreng'}),0.0801564027370479,0.1152718249492443,0.013309271373787504,0.16604127579737338,1.440432437592478,1.0,0.0040694965489213916,1.060877654222841,0.33240872494101126,0.0730800990916598,0.057384236514471235,0.1407505791902718
frozenset({'Kentang goreng'}),frozenset({'Cireng'}),0.1152718249492443,0.0801564027370479,0.013309271373787504,0.11545988258317026,1.4404324375924777,1.0,0.0040694965489213916,1.0399116774366561,0.3456022379911092,0.0730800990916598,0.038379872351310504,0.1407505791902718
frozenset({'Mie Goreng'}),frozenset({'Lychee Tea ice'}),0.05857583276938116,0.1170764719151816,0.009850364689074367,0.16816431322207961,1.4363630067697088,1.0,0.0029925128489415405,1.0614157845340642,0.32269955856888527,0.05941043083900228,0.05786213605352041,0.12615023625137378
frozenset({'Nirmala Hot'}),frozenset({'Basreng'}),0.03225806451612903,0.13858184825926761,0.00639145800436123,0.19813519813519814,1.4297341291372763,1.0,0.001921075802449372,1.0742685671417855,0.3105882352941177,0.038866026520347506,0.0691340782122905,0.12212782695690998
frozenset({'Matcha ice'}),frozenset({'Cireng'}),0.05459057071960298,0.0801564027370479,0.0062410707571997895,0.11432506887052342,1.4262749445676275,1.0,0.0018652869849539984,1.0385792404555259,0.3161306643898428,0.04856641310708017,0.037146169452226846,0.09609311604877016
frozenset({'Tubruk Susu'}),frozenset({'Vietnam drip'}),0.08038198360779006,0.08158508158508158,0.009324009324009324,0.11599625818521983,1.421782707470266,1.0,0.0027660386333970815,1.0389265055931722,0.3225878986099755,0.061083743842364535,0.03746800700877997,0.11514098623546706
frozenset({'Vietnam drip'}),frozenset({'Tubruk Susu'}),0.08158508158508158,0.08038198360779006,0.009324009324009324,0.11428571428571428,1.4217827074702658,1.0,0.0027660386333970815,1.0382784056041081,0.32301047977730474,0.061083743842364535,0.03686718841256862,0.11514098623546706
