Date,Quantity,UniqueItemCount,Net sales,Gross sales
2022-09-15,29.0,18,0.0,0.0
2022-09-16,14.0,9,0.0,0.0
2022-09-17,36.0,19,0.0,0.0
2022-09-18,17.0,11,0.0,0.0
2022-09-19,25.0,15,0.0,0.0
2022-09-20,41.0,23,0.0,0.0
2022-09-21,31.0,25,0.0,0.0
2022-09-22,20.0,14,0.0,0.0
2022-09-23,29.0,15,0.0,0.0
2022-09-24,37.0,22,0.0,0.0
2022-09-25,28.0,17,0.0,0.0
2022-09-26,27.0,15,0.0,0.0
2022-09-27,17.0,8,0.0,0.0
2022-09-28,29.0,17,0.0,0.0
2022-09-29,18.0,10,0.0,0.0
2022-09-30,35.0,19,0.0,0.0
2022-10-01,29.0,18,0.0,0.0
2022-10-02,9.0,7,0.0,0.0
2022-10-03,10.0,7,0.0,0.0
2022-10-04,19.0,12,0.0,0.0
2022-10-05,34.0,18,0.0,0.0
2022-10-06,39.0,18,0.0,0.0
2022-10-07,7.0,6,0.0,0.0
2022-10-08,31.0,22,0.0,0.0
2022-10-09,18.0,12,0.0,0.0
2022-10-10,18.0,11,0.0,0.0
2022-10-11,26.0,16,0.0,0.0
2022-10-12,19.0,11,0.0,0.0
2022-10-13,25.0,18,0.0,0.0
2022-10-14,39.0,27,0.0,0.0
2022-10-15,44.0,24,0.0,0.0
2022-10-16,37.0,24,0.0,0.0
2022-10-17,69.0,29,0.0,0.0
2022-10-18,28.0,15,0.0,0.0
2022-10-19,17.0,14,0.0,0.0
2022-10-20,21.0,14,0.0,0.0
2022-10-21,23.0,14,0.0,0.0
2022-10-22,18.0,12,0.0,0.0
2022-10-23,24.0,16,0.0,0.0
2022-10-24,45.0,17,0.0,0.0
2022-10-25,26.0,14,0.0,0.0
2022-10-26,34.0,23,0.0,0.0
2022-10-27,18.0,11,0.0,0.0
2022-10-28,47.0,20,0.0,0.0
2022-10-29,70.0,31,0.0,0.0
2022-10-30,39.0,23,0.0,0.0
2022-10-31,30.0,17,0.0,0.0
2022-11-01,19.0,15,0.0,0.0
2022-11-02,25.0,18,0.0,0.0
2022-11-03,61.0,24,0.0,0.0
2022-11-04,35.0,25,0.0,0.0
2022-11-05,15.0,10,0.0,0.0
2022-11-06,13.0,11,0.0,0.0
2022-11-07,30.0,14,0.0,0.0
2022-11-08,32.0,18,0.0,0.0
2022-11-09,38.0,19,0.0,0.0
2022-11-10,9.0,7,0.0,0.0
2022-11-11,30.0,22,0.0,0.0
2022-11-12,44.0,23,0.0,0.0
2022-11-13,32.0,20,0.0,0.0
2022-11-14,39.0,21,0.0,0.0
2022-11-15,24.0,18,0.0,0.0
2022-11-16,35.0,21,0.0,0.0
2022-11-17,34.0,17,0.0,0.0
2022-11-18,38.0,25,0.0,0.0
2022-11-19,81.0,35,0.0,0.0
2022-11-20,43.0,28,0.0,0.0
2022-11-21,27.0,22,0.0,0.0
2022-11-22,53.0,31,0.0,0.0
2022-11-23,35.0,24,0.0,0.0
2022-11-24,28.0,18,0.0,0.0
2022-11-25,27.0,20,0.0,0.0
2022-11-26,19.0,15,0.0,0.0
2022-11-27,31.0,18,0.0,0.0
