support,itemsets
0.007311500380807311,"frozenset({'Kopi susu ice', 'Nasi Goreng Jawa'})"
0.0054836252856054835,"frozenset({'Cireng', 'Nasi Goreng Jawa'})"
0.00952018278750952,"frozenset({'Kopi Susu Hot', 'Kentang goreng'})"
0.007311500380807311,"frozenset({'Kopi Susu Hot', 'Tubruk'})"
0.008758568164508759,"frozenset({'Coklat Hot', 'Kentang goreng'})"
0.006092916984006093,"frozenset({'Red Velvet ice', 'Kentang goreng'})"
0.005331302361005331,"frozenset({'Red Velvet ice', 'Basreng'})"
0.006321401370906321,"frozenset({'Taro ice', 'Kentang goreng'})"
0.010738766184310739,"frozenset({'Tubruk', 'Singkong keju'})"
0.006702208682406703,"frozenset({'Lychee Tea ice', 'Singkong keju'})"
0.005940594059405941,"frozenset({'Tahu tuna', 'Singkong keju'})"
0.009367859862909368,"frozenset({'Kentang goreng', 'Singkong keju'})"
0.005407463823305408,"frozenset({'Vietnam drip', 'Singkong keju'})"
0.0054836252856054835,"frozenset({'Husgendam Hot', 'Singkong keju'})"
0.005407463823305408,"frozenset({'Kopi susu ice', 'Singkong keju'})"
0.005635948210205636,"frozenset({'Singkong keju', 'Cireng'})"
0.03214013709063214,"frozenset({'Kopi susu ice', 'Basreng'})"
0.00753998476770754,"frozenset({'Milk Tea Hot', 'Basreng'})"
0.006473724295506474,"frozenset({'Milk Tea Hot', 'Kentang goreng'})"
0.007311500380807311,"frozenset({'Mie Goreng', 'Kentang goreng'})"
0.005407463823305408,"frozenset({'Lemon Hot', 'Mie Goreng'})"
0.009977151561309978,"frozenset({'Mie Goreng', 'Lychee Tea ice'})"
0.007920792079207921,"frozenset({'Mie Goreng', 'Kopi susu ice'})"
0.006854531607006854,"frozenset({'Mie Goreng', 'Basreng'})"
0.0077684691546077685,"frozenset({'Mie Goreng', 'Tubruk'})"
0.005635948210205636,"frozenset({'Basreng', 'Lychee tea hot'})"
0.005407463823305408,"frozenset({'Kentang goreng', 'Lychee tea hot'})"
0.005635948210205636,"frozenset({'Basreng', 'Donat'})"
0.0062452399086062454,"frozenset({'Kopi susu ice', 'Donat'})"
0.0054836252856054835,"frozenset({'Kentang goreng', 'Donat'})"
0.005026656511805026,"frozenset({'Kinasih', 'Donat'})"
0.00555978674790556,"frozenset({'Waffle vanilla', 'Kopi susu ice'})"
0.005255140898705255,"frozenset({'Waffle vanilla', 'Lychee Tea ice'})"
0.007844630616907844,"frozenset({'Lemon Ice', 'Kentang goreng'})"
0.00913937547600914,"frozenset({'Lychee Tea ice', 'Lemon Ice'})"
0.007463823305407464,"frozenset({'Kopi susu ice', 'Lemon Ice'})"
0.008758568164508759,"frozenset({'Lemon Ice', 'Basreng'})"
0.007159177456207159,"frozenset({'Tubruk', 'Lemon Ice'})"
0.0057121096725057125,"frozenset({'Lemon Ice', 'Cireng'})"
0.005178979436405179,"frozenset({'Lychee Tea ice', 'Mie goreng'})"
0.007616146230007616,"frozenset({'Husgendam Hot', 'Kinasih'})"
0.005102817974105103,"frozenset({'Husgendam Hot', 'Kopi susu ice'})"
0.0077684691546077685,"frozenset({'Husgendam Hot', 'Basreng'})"
0.00853008377760853,"frozenset({'Husgendam Hot', 'Kentang goreng'})"
0.0070068545316070065,"frozenset({'Husgendam Hot', 'Cireng'})"
0.005788271134805788,"frozenset({'Lychee Tea ice', 'Ayam Teriyaki'})"
0.01348057882711348,"frozenset({'Kentang goreng', 'Cireng'})"
0.008987052551408987,"frozenset({'Kinasih', 'Cireng'})"
0.006854531607006854,"frozenset({'Tubruk', 'Cireng'})"
0.006397562833206398,"frozenset({'Vietnam drip', 'Cireng'})"
0.006930693069306931,"frozenset({'Tubruk Susu', 'Cireng'})"
0.01051028179741051,"frozenset({'Lychee Tea ice', 'Cireng'})"
0.012566641279512566,"frozenset({'Basreng', 'Cireng'})"
0.011348057882711348,"frozenset({'Kopi susu ice', 'Cireng'})"
0.006473724295506474,"frozenset({'Nirmala Hot', 'Basreng'})"
0.006397562833206398,"frozenset({'Ayam Curry', 'Kopi susu ice'})"
0.005940594059405941,"frozenset({'Ayam Curry', 'Lychee Tea ice'})"
0.007692307692307693,"frozenset({'Lychee Tea ice', 'Milk Tea Ice'})"
0.0062452399086062454,"frozenset({'Kopi susu ice', 'Milk Tea Ice'})"
0.006626047220106626,"frozenset({'Milk Tea Ice', 'Basreng'})"
0.005178979436405179,"frozenset({'Lychee Tea ice', 'Nasi Cumi Asin'})"
0.006169078446306169,"frozenset({'Husgendam Ice', 'Cireng'})"
0.005026656511805026,"frozenset({'Husgendam Ice', 'Kentang goreng'})"
0.007159177456207159,"frozenset({'Husgendam Ice', 'Kinasih'})"
0.005178979436405179,"frozenset({'Husgendam Ice', 'Basreng'})"
0.005255140898705255,"frozenset({'Ayam chili padi', 'Kopi susu ice'})"
