support,itemsets
0.005037972779908264,"frozenset({'Tahu tuna', 'Matcha ice'})"
0.007669749605233476,"frozenset({'Mie Goreng', 'Tubruk'})"
0.006917813369426273,"frozenset({'Nasi gila', 'Nasi Goreng Jawa'})"
0.005037972779908264,"frozenset({'Tahu tuna', 'Nasi Goreng Jawa'})"
0.006993006993006993,"frozenset({'Tubruk', 'Nasi Goreng Jawa'})"
0.0051883600270697045,"frozenset({'Roti bakar coklat', 'Tubruk'})"
0.0051883600270697045,"frozenset({'Roti bakar coklat', 'add Keju'})"
0.005865102639296188,"frozenset({'Tahu tuna', 'Singkong keju'})"
0.010602300924881571,"frozenset({'Tubruk', 'Singkong keju'})"
0.005338747274231145,"frozenset({'Vietnam drip', 'Singkong keju'})"
0.007594555981652756,"frozenset({'Tubruk', 'Tahu tuna'})"
0.006917813369426273,"frozenset({'Tahu tuna', 'Vietnam drip'})"
0.011880592525753816,"frozenset({'Tubruk', 'Tubruk Susu'})"
0.008271298593879239,"frozenset({'Tubruk', 'Vietnam drip'})"
0.009324009324009324,"frozenset({'Tubruk Susu', 'Vietnam drip'})"
0.005865102639296188,"frozenset({'Lychee Tea ice', 'Kopi susu ice', 'Basreng'})"
