Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/11/25 2:02 PM,1-2932,Sale,Coffee Based,10003,Vietnam Drip,,,1.000,17000.00,0.00,17000.00,3415.00,13585.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:02 PM,1-2932,Sale,Main Course,12001,Nasi Cumi Asin,,,1.000,23000.00,0.00,23000.00,12375.00,10625.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:02 PM,1-2932,Sale,Mie,90001,Mie Goreng,,,1.000,11000.00,0.00,11000.00,4880.00,6120.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:02 PM,1-2932,Sale,Add kitchen,13007,Add Telur,,,1.000,4000.00,0.00,4000.00,1667.00,2333.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:02 PM,1-2932,Sale,Signature Based,40005,Kinasih,,,1.000,24000.00,0.00,24000.00,10347.00,13653.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:02 PM,1-2932,Sale,Snack,80007,Donat,,,1.000,16000.00,0.00,16000.00,8483.00,7517.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 1:12 PM,1-2931,Sale,Coffee Based,10001,Tubruk,,,1.000,15000.00,0.00,15000.00,2396.00,12604.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 12:33 PM,1-2930,Sale,Milk Based,20006,Matcha Ice,,,1.000,23000.00,0.00,23000.00,7376.00,15624.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,No sugar,Closed
7/11/25 12:33 PM,1-2930,Sale,Signature kichen,70003,Waffle Matcha,,,1.000,25000.00,0.00,25000.00,12966.00,12034.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 12:11 PM,1-2929,Sale,Signature Based,40008,Nirmala Ice,,,1.000,24000.00,0.00,24000.00,6852.00,17148.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
